c7,c10,c144,c151,c30,c31,c35,c106,c108,c117,c62,c65,c41,c49,c56,c128,c51,c101,c109,c156,c1
7.0,15.0,27.0,1.0,4.0,0.20025211229567236,2014.0,1.0,18.0,0.0,0.0,0.0,3.0,0.0,0.6036716108472407,211.0,11.0,1.0,1.0,4.0,0
5.0,20.0,21.0,2.0,5.0,0.25789290345245725,2636.0,1.0,18.0,6.0,0.2036352267946164,0.0,1.0,2.0,0.41250893407894784,124.0,8.0,13.0,1.0,3.0,0
7.0,14.0,10.0,1.0,5.0,0.07596652601675209,1560.0,1.0,18.0,0.0,0.0,0.0,13.0,2.0,0.020524834768806188,248.0,6.0,11.0,1.0,3.0,0
7.0,19.0,10.0,1.0,5.0,0.09011912480393545,1098.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,0.08692871196200266,14.0,5.0,13.0,3.0,3.0,0
7.0,12.0,10.0,1.0,5.0,0.13975682436295309,1747.0,1.0,18.0,0.0,0.12218113607676984,0.0,1.0,2.0,0.04286068437015409,14.0,4.0,13.0,1.0,3.0,0
7.0,16.0,20.0,1.0,5.0,0.2345614622283444,1093.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.7646507070731716,86.0,11.0,13.0,1.0,3.0,0
7.0,0.0,10.0,1.0,5.0,0.5004588597262019,1617.0,1.0,18.0,0.0,0.0,0.0,3.0,2.0,2.0122387028241357,126.0,9.0,6.0,1.0,3.0,0
7.0,19.0,10.0,1.0,5.0,0.07931168602317884,1608.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,0.03622029665083445,14.0,9.0,13.0,2.0,3.0,0
7.0,12.0,10.0,1.0,5.0,0.11308966950382648,1560.0,1.0,18.0,0.0,0.08145409071784657,0.0,1.0,3.0,0.01006119351412068,14.0,14.0,13.0,1.0,3.0,0
7.0,18.0,15.0,0.0,0.0,0.09921110414810232,759.0,1.0,18.0,0.0,0.0,0.0,3.0,0.0,0.12958817246187435,126.0,11.0,13.0,1.0,5.0,0
7.0,16.0,20.0,1.0,0.0,0.1719040352879293,1218.0,1.0,18.0,0.0,0.0,0.0,3.0,0.0,0.4706626325905654,86.0,9.0,13.0,1.0,3.0,0
7.0,12.0,10.0,1.0,5.0,0.07579497604307119,206.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,0.01971993928767653,14.0,9.0,13.0,1.0,3.0,0
7.0,18.0,27.0,1.0,4.0,0.8435523268127469,2006.0,1.0,18.0,0.0,0.0,0.0,3.0,2.0,3.6220296650834447,211.0,11.0,1.0,1.0,4.0,0
7.0,18.0,21.0,2.0,5.0,0.2923727071928442,2408.0,1.0,18.0,0.0,0.0,0.0,3.0,0.0,1.035900484213865,126.0,11.0,12.0,1.0,3.0,0
7.0,12.0,10.0,1.0,5.0,0.13943044094657295,206.0,1.0,18.0,0.0,0.04072704535892328,0.0,3.0,2.0,0.22597440632715046,126.0,9.0,13.0,1.0,3.0,0
7.0,12.0,10.0,1.0,4.0,0.2139758522687412,206.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,0.6680632493376131,14.0,9.0,13.0,1.0,3.0,0
7.0,16.0,20.0,1.0,5.0,0.0940992308861309,1218.0,1.0,18.0,0.0,0.04072704535892328,0.0,13.0,3.0,0.013280775438639297,180.0,9.0,13.0,1.0,3.0,0
7.0,12.0,10.0,1.0,5.0,0.07240692854322421,1560.0,1.0,18.0,0.0,0.0,0.0,13.0,2.0,0.003823253535365858,175.0,13.0,11.0,1.0,3.0,0
7.0,19.0,10.0,1.0,5.0,0.12694206389711213,1187.0,1.0,3.0,0.0,0.08145409071784657,0.0,1.0,4.0,0.07505650361534026,14.0,10.0,13.0,1.0,3.0,0
7.0,18.0,15.0,0.0,5.0,0.07176363226200855,759.0,1.0,18.0,0.0,0.0,0.0,13.0,2.0,0.0008048954811296544,124.0,13.0,13.0,1.0,5.0,0
8.0,19.0,10.0,1.0,5.0,0.1723757735354202,1601.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.4728760951636719,14.0,9.0,13.0,1.0,3.0,0
